id,tcode,ttype,fred,description,gsi,gsi:description,group,edited
110,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),OILPRICEx,"Crude Oil, spliced WTI and Cushing",M_110157273,Spot market price,Prices,TRUE
111,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),PPICMM,PPI: Metals and metal products:,M_110157335,PPI: nonferrous,Prices,FALSE
112,1,Level (i.e. no transformation): x(t),NAPMPRI,ISM Manufacturing: Prices Index,M_110157204,NAPM com price,Prices,FALSE
113,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CPIAUCSL,CPI : All Items,M_110157323,CPI-U: all,Prices,FALSE
114,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CPIAPPSL,CPI : Apparel,M_110157299,CPI-U: apparel,Prices,FALSE
115,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CPITRNSL,CPI : Transportation,M_110157302,CPI-U: transp,Prices,FALSE
116,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CPIMEDSL,CPI : Medical Care,M_110157304,CPI-U: medical,Prices,FALSE
117,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CUSR0000SAC,CPI : Commodities,M_110157314,CPI-U: comm.,Prices,FALSE
118,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CUSR0000SAD,CPI : Durables,M_110157315,CPI-U: dbles,Prices,FALSE
119,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CUSR0000SAS,CPI : Services,M_110157325,CPI-U: services,Prices,FALSE
120,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CPIULFSL,CPI : All Items Less Food,M_110157328,CPI-U: ex food,Prices,FALSE
121,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CUSR0000SA0L2,CPI : All items less shelter,M_110157329,CPI-U: ex shelter,Prices,FALSE
122,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CUSR0000SA0L5,CPI : All items less medical care,M_110157330,CPI-U: ex med,Prices,FALSE
123,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),PCEPI,Personal Cons. Expend.: Chain Index,gmdc,PCE de,Prices,FALSE
124,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),DDURRG3M086SBEA,Personal Cons. Exp: Durable goods,gmdcd,PCE de : dlbes,Prices,FALSE
125,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),DNDGRG3M086SBEA,Personal Cons. Exp: Nondurable goods,gmdcn,PCE de : nondble,Prices,FALSE
126,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),DSERRG3M086SBEA,Personal Cons. Exp: Services,gmdcs,PCE de : service,Prices,FALSE
127,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CES0600000008,Avg Hourly Earnings : Goods-Producing,M_123109182,AHE: goods,Labor Market,FALSE
128,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CES2000000008,Avg Hourly Earnings : Construction,M_123109341,AHE: const,Labor Market,FALSE
129,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),CES3000000008,Avg Hourly Earnings : Manufacturing,M_123109552,AHE: mfg,Labor Market,FALSE
130,2,First difference: x(t)-x(t-1),UMCSENTx,Consumer Sentiment Index,hhsntn,Consumer expect,"Consumption, Orders, and Inventories",TRUE
131,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),MZMSL,MZM Money Stock,,,Money and Credit,FALSE
132,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),DTCOLNVHFNM,Consumer Motor Vehicle Loans Outstanding,,,Money and Credit,FALSE
133,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),DTCTHFNM,Total Consumer Loans and Leases Outstanding,,,Money and Credit,FALSE
134,6,Second difference of natural log: (ln(x)-ln(x-1))-(ln(x-1)-ln(x-2)),INVEST,Securities in Bank Credit at All Commercial Banks,,,Money and Credit,FALSE
135,1,Level (i.e. no transformation): x(t),VXOCLSx,VXO,,,Stock Market,TRUE
